統計名：,食料需給表 確報 令和２年度食料需給表,,,,,,,,,,,,,,,,,,,,,,,
表番号：,32 ,,,,,,,,,,,,,,,,,,,,,,,
表題：,[品目別累年表] 品目別累年表,,,,,,,,,,,,,,,,,,,,,,,
実施年月：,2020年度,-,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
***,計数がない場合,,,,,,,,,,,,,,,,,,,,,,,
-,計数がない場合,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
品目,年度,国内生産量【1000トン】,外国貿易_輸入量【1000トン】,外国貿易_輸出量【1000トン】,在庫の増減量【1000トン】,国内消費仕向量【1000トン】,国内消費仕向量の内訳_飼料用【1000トン】,国内消費仕向量の内訳_種子用【1000トン】,国内消費仕向量の内訳_加工用【1000トン】,国内消費仕向量の内訳_純旅客用【1000トン】,国内消費仕向量の内訳_減耗量【1000トン】,国内消費仕向量の内訳_粗食料_総数【1000トン】,国内消費仕向量の内訳_粗食料_１人１年当たり【kg】,国内消費仕向量の内訳_粗食料_１人１日当たり【ｇ】,国内消費仕向量の内訳_歩留り【％】,国内消費仕向量の内訳_純食料【1000トン】,１人当たり供給純食料_１年当たり数量【kg】,１人当たり供給純食料_１日当たり_数量【ｇ】,１人当たり供給純食料_１日当たり_熱量【kcal】,１人当たり供給純食料_１日当たり_たんぱく質【ｇ】,１人当たり供給純食料_１日当たり_脂質【ｇ】,純食料100g中の栄養成分量_熱量【kcal】,純食料100g中の栄養成分量_たんぱく質【ｇ】,純食料100g中の栄養成分量_脂質【ｇ】
豆類／大豆,1960年度,418,"1,081",0,-18,"1,517",0,16,974,-,8,519,5.6,15.2,100,519,5.6,15.2,59.7,5.2,2.7,392,34.3,17.5
豆類／大豆,1961年度,387,"1,176",0,-5,"1,568",0,12,"1,021",-,8,527,5.6,15.3,100,527,5.6,15.3,60,5.3,2.7,392,34.3,17.5
豆類／大豆,1962年度,336,"1,284",0,19,"1,601",0,11,"1,092",-,7,491,5.2,14.1,100,491,5.2,14.1,55.4,4.8,2.5,392,34.3,17.5
豆類／大豆,1963年度,318,"1,617",0,56,"1,879",0,10,"1,376",-,7,486,5.1,13.8,100,486,5.1,13.8,54.1,4.7,2.4,392,34.3,17.5
豆類／大豆,1964年度,240,"1,607",0,-34,"1,881",0,11,"1,401",-,7,462,4.8,13,100,462,4.8,13,51.1,4.5,2.3,392,34.3,17.5
豆類／大豆,1965年度,230,"1,847",0,47,"2,030",0,10,"1,551",-,7,462,4.7,12.9,100,462,4.7,12.9,54.7,4.4,2.6,425,34.1,20.4
豆類／大豆,1966年度,199,"2,168",4,74,"2,289",10,9,"1,758",-,8,504,5.1,13.9,100,504,5.1,13.9,59.5,4.7,2.9,427,33.9,20.6
豆類／大豆,1967年度,190,"2,170",1,-66,"2,425",40,7,"1,828",-,8,542,5.4,14.8,100,542,5.4,14.8,63.1,5,3.1,427,33.8,20.8
豆類／大豆,1968年度,168,"2,421",1,5,"2,583",20,6,"1,992",-,8,557,5.5,15.1,100,557,5.5,15.1,64.5,5.1,3.1,428,33.7,20.9
豆類／大豆,1969年度,136,"2,591",0,-52,"2,779",10,5,"2,190",-,9,565,5.5,15.1,100,565,5.5,15.1,64.8,5.1,3.2,429,33.6,21.1
豆類／大豆,1970年度,126,"3,244",0,75,"3,295",10,6,"2,692",-,9,578,5.6,15.3,100,578,5.6,15.3,65.5,5.1,3.2,429,33.5,21.1
豆類／大豆,1971年度,122,"3,212",0,-2,"3,336",20,6,"2,713",-,9,588,5.6,15.3,100,588,5.6,15.3,65.7,5.1,3.2,430,33.5,21.1
豆類／大豆,1972年度,127,"3,399",0,30,"3,496",30,5,"2,836",-,9,616,5.7,15.7,100,616,5.7,15.7,67.4,5.3,3.3,430,33.5,21.2
豆類／大豆,1973年度,118,"3,635",0,133,"3,620",30,5,"2,948",-,10,627,5.7,15.7,100,627,5.7,15.7,67.7,5.3,3.3,430,33.4,21.2
豆類／大豆,1974年度,133,"3,244",0,-237,"3,614",30,6,"2,935",-,10,633,5.7,15.7,100,633,5.7,15.7,67.4,5.3,3.3,430,33.5,21.1
豆類／大豆,1975年度,126,"3,334",0,-42,"3,502",30,6,"2,810",-,10,646,5.8,15.8,100,646,5.8,15.8,67.8,5.3,3.3,430,33.4,21.2
豆類／大豆,1976年度,110,"3,554",0,112,"3,552",30,5,"2,894",-,9,614,5.4,14.9,100,614,5.4,14.9,64,5,3.2,430,33.4,21.2
豆類／大豆,1977年度,111,"3,602",0,-21,"3,734",30,8,"3,071",-,36,589,5.2,14.1,100,589,5.2,14.1,60.8,4.7,3,430,33.4,21.2
豆類／大豆,1978年度,190,"4,260",0,260,"4,190",40,8,"3,485",-,43,614,5.3,14.6,100,614,5.3,14.6,62.5,4.9,3.1,428,33.7,20.9
豆類／大豆,1979年度,192,"4,132",20,-28,"4,332",55,8,"3,606",-,41,622,5.4,14.6,100,622,5.4,14.6,62.6,4.9,3.1,428,33.7,20.9
豆類／大豆,1980年度,174,"4,401",30,159,"4,386",55,9,"3,661",-,44,617,5.3,14.4,100,617,5.3,14.4,61.9,4.9,3,429,33.6,20.9
豆類／大豆,1981年度,212,"4,197",40,-57,"4,426",55,9,"3,695",-,42,625,5.3,14.5,100,625,5.3,14.5,62.2,4.9,3,428,33.8,20.8
豆類／大豆,1982年度,226,"4,344",13,7,"4,550",55,9,"3,777",-,43,666,5.6,15.4,100,666,5.6,15.4,65.8,5.2,3.2,428,33.8,20.8
豆類／大豆,1983年度,217,"4,995",3,249,"4,960",60,9,"4,121",-,75,695,5.8,15.9,100,695,5.8,15.9,68,5.4,3.3,428,33.7,20.9
豆類／大豆,1984年度,238,"4,515",0,-61,"4,814",60,8,"3,952",-,68,726,6,16.5,100,726,6,16.5,70.8,5.6,3.4,428,33.7,20.8
豆類／大豆,1985年度,228,"4,910",0,113,"5,025",70,8,"4,112",-,98,737,6.1,16.7,100,737,6.1,16.7,71.2,5.6,3.4,426.7,33.6,20.6
豆類／大豆,1986年度,245,"4,817",0,45,"5,017",70,8,"4,087",-,96,756,6.2,17,100,756,6.2,17,72.6,5.7,3.5,426.7,33.6,20.6
豆類／大豆,1987年度,287,"4,797",0,98,"4,986",70,8,"3,995",-,96,817,6.7,18.3,100,817,6.7,18.3,77.9,6.1,3.8,426.7,33.6,20.6
豆類／大豆,1988年度,277,"4,685",0,95,"4,867",85,9,"3,872",-,94,807,6.6,18,100,807,6.6,18,76.9,6.1,3.7,426.7,33.6,20.6
豆類／大豆,1989年度,272,"4,346",0,-130,"4,748",90,8,"3,741",-,87,822,6.7,18.3,100,822,6.7,18.3,78,6.1,3.8,426.7,33.6,20.6
豆類／大豆,1990年度,220,"4,681",0,80,"4,821",95,8,"3,826",-,94,798,6.5,17.7,100,798,6.5,17.7,75.5,5.9,3.6,426.7,33.6,20.6
豆類／大豆,1991年度,197,"4,331",0,-100,"4,628",95,7,"3,619",-,87,820,6.6,18.1,100,820,6.6,18.1,77,6.1,3.7,426.7,33.6,20.6
豆類／大豆,1992年度,188,"4,725",0,91,"4,822",95,5,"3,791",-,95,836,6.7,18.4,100,836,6.7,18.4,78.5,6.2,3.8,426.7,33.6,20.6
豆類／大豆,1993年度,101,"5,031",0,133,"4,999",110,9,"3,986",-,125,769,6.2,16.9,100,769,6.2,16.9,72,5.7,3.5,426.7,33.6,20.6
豆類／大豆,1994年度,99,"4,731",0,-51,"4,881",105,3,"3,864",-,118,791,6.3,17.3,100,791,6.3,17.3,73.8,5.8,3.6,426.7,33.6,20.6
豆類／大豆,1995年度,119,"4,813",0,13,"4,919",110,3,"3,901",-,120,785,6.3,17.1,100,785,6.3,17.1,72.9,5.7,3.5,426.7,33.6,20.6
豆類／大豆,1996年度,148,"4,870",0,51,"4,967",110,4,"3,873",-,136,844,6.7,18.4,100,844,6.7,18.4,78.4,6.2,3.8,426.7,33.6,20.6
豆類／大豆,1997年度,145,"5,057",0,162,"5,040",110,4,"3,972",-,126,828,6.6,18,100,828,6.6,18,76.7,6,3.7,426.7,33.6,20.6
豆類／大豆,1998年度,158,"4,751",0,13,"4,896",105,5,"3,804",-,124,858,6.8,18.6,100,858,6.8,18.6,79.3,6.2,3.8,426.7,33.6,20.6
豆類／大豆,1999年度,187,"4,884",0,67,"5,004",105,5,"3,947",-,126,821,6.5,17.7,100,821,6.5,17.7,75.6,6,3.6,426.7,33.6,20.6
豆類／大豆,2000年度,235,"4,829",0,102,"4,962",100,6,"3,917",-,125,814,6.4,17.6,100,814,6.4,17.6,75,5.9,3.6,426.7,33.6,20.6
豆類／大豆,2001年度,271,"4,832",0,31,"5,072",100,7,"3,994",-,125,846,6.6,18.2,100,846,6.6,18.2,77.7,6.1,3.8,426.7,33.6,20.6
豆類／大豆,2002年度,270,"5,039",0,0,"5,309",113,7,"4,208",-,130,851,6.7,18.3,100,851,6.7,18.3,78.1,6.1,3.8,426.7,33.6,20.6
豆類／大豆,2003年度,232,"5,173",0,94,"5,311",124,8,"4,187",-,134,858,6.7,18.4,100,858,6.7,18.4,78.4,6.2,3.8,426.7,33.6,20.6
豆類／大豆,2004年度,163,"4,407",0,-145,"4,715",121,7,"3,595",-,115,877,6.9,18.8,100,877,6.9,18.8,80.3,6.3,3.9,426.7,33.6,20.6
豆類／大豆,2005年度,225,"4,181",0,58,"4,348",125,7,"3,261",-,84,871,6.8,18.7,100,871,6.8,18.7,79.7,6.3,3.8,426.7,33.6,20.6
豆類／大豆,2006年度,229,"4,042",0,34,"4,237",125,7,"3,158",-,81,866,6.8,18.6,100,866,6.8,18.6,79.1,6.2,3.8,426.7,33.6,20.6
豆類／大豆,2007年度,227,"4,161",12,72,"4,304",125,7,"3,223",-,83,866,6.8,18.5,100,866,6.8,18.5,78.9,6.2,3.8,426.7,33.6,20.6
豆類／大豆,2008年度,262,"3,711",0,-61,"4,034",114,7,"2,978",-,74,861,6.7,18.4,100,861,6.7,18.4,78.6,6.2,3.8,426.7,33.6,20.6
豆類／大豆,2009年度,230,"3,390",0,-48,"3,668",115,7,"2,655",-,68,823,6.4,17.6,100,823,6.4,17.6,75.1,5.9,3.6,426.7,33.6,20.6
豆類／大豆,2010年度,223,"3,456",0,37,"3,642",113,7,"2,639",-,73,810,6.3,17.3,100,810,6.3,17.3,73.9,5.8,3.6,426.7,33.6,20.6
豆類／大豆,2011年度,219,"2,831",0,-137,"3,187",106,7,"2,228",-,57,789,6.2,16.9,100,789,6.2,16.9,72,5.7,3.5,426.7,33.6,20.6
豆類／大豆,2012年度,236,"2,727",0,-74,"3,037",108,7,"2,092",-,55,775,6.1,16.6,100,775,6.1,16.6,71,5.6,3.4,426.7,33.6,20.6
豆類／大豆,2013年度,200,"2,762",0,-50,"3,012",104,6,"2,067",-,55,780,6.1,16.8,100,780,6.1,16.8,71.6,5.6,3.5,426.7,33.6,20.6
豆類／大豆,2014年度,232,"2,828",0,-35,"3,095",98,6,"2,158",-,57,776,6.1,16.7,100,776,6.1,16.7,71.3,5.6,3.4,426.7,33.6,20.6
豆類／大豆,2015年度,243,"3,243",0,106,"3,380",102,6,"2,413",-,65,794,6.2,17.1,100,794,6.2,17.1,72.8,5.7,3.5,426.7,33.6,20.6
豆類／大豆,2016年度,238,"3,131",0,-55,"3,424",106,7,"2,439",-,63,809,6.4,17.5,100,809,6.4,17.5,74.5,5.9,3.6,426.7,33.6,20.6
豆類／大豆,2017年度,253,"3,218",0,-102,"3,573",81,8,"2,599",-,64,821,6.5,17.8,100,821,6.5,17.8,75.7,6,3.7,426.7,33.6,20.6
豆類／大豆,2018年度,211,"3,236",0,-120,"3,567",83,8,"2,562",5,65,844,6.7,18.3,100,844,6.7,18.3,78,6.1,3.8,426.7,33.6,20.6
豆類／大豆,2019年度,218,"3,359",0,-106,"3,683",84,8,"2,663",3,67,858,6.8,18.6,100,858,6.8,18.6,73.8,6.2,4,397.2,33.3,21.4
豆類／大豆,2020年度,219,"3,139",0,-140,"3,498",84,8,"2,455",0,63,888,7,19.3,100,888,7,19.3,76.5,6.4,4.1,397,33.2,21.4
